,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Jamestown,US,42.1,-79.24,1.87,91,1,8.05
1,Mirny,RU,62.54,113.96,12.2,92,75,6.71
2,Busselton,AU,-33.65,115.33,77.47,35,0,21.3
3,Saint-Philippe,RE,-21.36,55.77,76.95,78,100,6.93
4,Vaini,TO,-21.2,-175.2,78.8,78,20,9.17
5,Dikson,RU,73.51,80.55,10.65,93,95,18.25
6,Beringovskiy,RU,63.05,179.32,2.07,81,100,20.0
7,Longyearbyen,SJ,78.22,15.64,6.8,71,75,11.41
8,Kaitangata,NZ,-46.28,169.85,59.0,93,100,5.01
9,Souillac,MU,-20.52,57.52,84.18,70,75,16.11
10,Mataura,NZ,-46.19,168.86,60.01,87,100,4.0
11,Sobolevo,RU,54.43,31.9,32.79,89,15,2.42
12,Taoudenni,ML,22.68,-3.98,76.1,17,100,15.28
13,Avallon,FR,47.48,3.9,44.1,81,63,4.21
14,Kapaa,US,22.08,-159.32,73.27,83,40,4.7
15,Mokshan,RU,53.44,44.61,35.01,56,100,7.72
16,Fairbanks,US,64.84,-147.72,-27.26,75,1,8.05
17,Port-Gentil,GA,-0.72,8.78,86.0,84,20,5.28
18,Avarua,CK,-21.21,-159.78,78.8,88,83,10.29
19,Tuktoyaktuk,CA,69.45,-133.04,-32.75,98,0,1.95
20,Ushuaia,AR,-54.8,-68.3,48.2,76,75,6.93
21,Isabela,PH,6.71,121.97,87.8,66,20,4.7
22,Portland,US,45.52,-122.68,41.63,87,90,4.7
23,Knysna,ZA,-34.04,23.05,69.8,88,75,4.7
24,Rome,US,43.21,-75.46,-3.87,69,1,5.48
25,Hong Kong,HK,22.29,114.16,71.38,83,40,13.87
26,Castro,BR,-24.79,-50.01,59.61,99,73,3.47
27,Rikitea,PF,-23.12,-134.97,79.3,77,0,14.43
28,Alofi,NU,-19.06,-169.92,77.0,83,100,11.41
29,Mahon,ES,39.89,4.27,57.2,87,75,5.82
30,Tabou,CI,4.42,-7.35,82.81,76,29,3.53
31,Punta Arenas,CL,-53.15,-70.92,48.09,87,90,13.87
32,Hermanus,ZA,-34.42,19.23,80.24,69,0,5.99
33,Uruguaiana,BR,-29.75,-57.09,73.4,94,90,4.7
34,Vostok,RU,46.49,135.88,-0.49,98,100,2.91
35,Minab,IR,27.15,57.08,73.4,53,0,6.93
36,Guerrero Negro,MX,27.98,-114.06,58.35,85,100,8.57
37,Mar del Plata,AR,-38.0,-57.56,63.25,100,19,11.41
38,Kidal,ML,18.44,1.41,78.85,7,34,18.14
39,Bakel,SN,14.9,-12.46,81.64,14,50,14.99
40,Hithadhoo,MV,-0.6,73.08,84.15,71,0,8.23
41,Oussouye,SN,12.48,-16.55,72.52,53,91,9.17
42,Fortuna,US,40.6,-124.16,37.13,93,1,5.82
43,Olinda,BR,-8.01,-34.86,82.4,65,20,6.93
44,Erzin,TR,36.96,36.2,52.3,22,100,24.16
45,Broken Hill,AU,-31.95,141.43,84.2,35,0,17.22
46,Tasiilaq,GL,65.61,-37.64,30.2,58,100,59.73
47,Port Alfred,ZA,-33.59,26.89,75.0,84,62,1.01
48,Cidreira,BR,-30.18,-50.21,75.72,78,100,5.46
49,Albany,US,42.6,-73.97,0.37,83,1,4.7
50,Olafsvik,IS,64.89,-23.71,32.65,75,45,13.38
51,Wajir,KE,1.75,40.06,93.2,34,20,11.41
52,Provideniya,RU,64.38,-173.3,-6.14,79,100,13.38
53,Baykit,RU,61.67,96.37,14.83,94,100,3.42
54,Bengkulu,ID,-3.8,102.27,79.65,92,100,5.14
55,Atuona,PF,-9.8,-139.03,81.01,75,96,14.72
56,Salalah,OM,17.02,54.09,80.6,15,0,18.34
57,Ribeira Grande,PT,38.52,-28.7,62.6,82,75,20.8
58,Keti Bandar,PK,24.14,67.45,80.15,36,0,12.88
59,Aleksandrov Gay,RU,50.15,48.57,24.35,88,55,5.28
60,Hobart,AU,-42.88,147.33,54.91,58,40,18.34
61,Shadegan,IR,30.65,48.66,64.38,51,67,9.17
62,Gawler,AU,-34.6,138.73,66.94,64,75,16.11
63,Puerto Ayora,EC,-0.74,-90.35,76.91,87,91,5.95
64,Cape Town,ZA,-33.93,18.42,77.16,53,0,12.75
65,Kapit,MY,2.02,112.93,80.92,95,97,3.38
66,Koslan,RU,63.46,48.9,19.98,95,92,6.26
67,Hilo,US,19.73,-155.09,67.15,83,90,4.7
68,Xining,CN,36.62,101.77,24.87,19,10,6.58
69,Paracuru,BR,-3.41,-39.03,76.86,88,75,2.24
70,Ndele,CF,8.41,20.65,93.07,11,0,6.44
71,Maningrida,AU,-12.07,134.27,85.3,82,25,21.45
72,Fandriana,MG,-20.23,47.38,60.66,98,100,9.22
73,La Ronge,CA,55.1,-105.28,-11.2,69,40,18.34
74,Arraial do Cabo,BR,-22.97,-42.03,75.16,81,43,7.23
75,Dhidhdhoo,MV,6.88,73.1,83.01,74,0,12.12
76,Villa Carlos Paz,AR,-31.42,-64.5,66.16,93,0,6.93
77,La Palma,US,33.85,-118.05,48.61,76,1,1.16
78,Macusani,PE,-14.08,-70.43,35.02,93,82,1.63
79,Geraldton,AU,-28.77,114.6,75.2,73,90,19.46
80,San Patricio,MX,19.22,-104.7,76.3,63,0,2.66
81,Bluff,NZ,-46.6,168.33,60.01,87,98,4.0
82,Sambava,MG,-14.27,50.17,93.29,46,29,5.57
83,Clyde River,CA,70.47,-68.59,-0.4,84,90,21.92
84,Batabano,CU,22.72,-82.29,69.8,100,20,4.7
85,Orangeburg,US,33.49,-80.86,39.81,46,20,6.93
86,Faanui,PF,-16.48,-151.75,83.25,69,38,4.38
87,New Norfolk,AU,-42.78,147.06,55.49,58,40,18.34
88,Airai,TL,-8.93,125.41,74.89,89,96,3.33
89,Nikolskoye,RU,59.7,30.79,32.27,78,75,6.71
90,Constitucion,CL,-35.33,-72.42,54.55,85,0,3.98
91,Bredasdorp,ZA,-34.53,20.04,76.42,50,77,9.17
92,Padang,ID,-0.95,100.35,76.87,78,100,3.09
93,Ola,RU,59.58,151.28,-2.81,75,100,14.18
94,Belyy Yar,RU,53.6,91.39,21.2,62,14,2.24
95,Port Hardy,CA,50.7,-127.42,39.2,93,90,3.36
96,Chui,UY,-33.7,-53.46,66.92,92,0,2.53
97,Yangi Marg`ilon,UZ,40.43,71.72,48.96,34,100,6.93
98,Rocha,UY,-34.48,-54.33,61.48,89,0,3.83
99,Ginir,ET,7.13,40.7,66.97,58,88,6.08
100,Nago,JP,26.59,127.98,75.83,65,90,16.11
101,Berlevag,NO,70.86,29.09,29.62,68,29,21.88
102,Bunia,CD,1.57,30.25,83.95,45,100,6.67
103,Changuinola,PA,9.43,-82.52,73.0,86,52,1.01
104,Bambous Virieux,MU,-20.34,57.76,84.06,70,75,16.11
105,Oodweyne,SO,9.41,45.06,79.95,28,0,8.14
106,Potsdam,DE,52.4,13.07,38.79,80,100,6.93
107,Esna,EG,25.29,32.55,73.4,35,0,4.59
108,Valley City,US,46.92,-98.0,27.37,100,90,13.87
109,Hofn,IS,64.25,-15.21,41.86,78,93,18.1
110,Butaritari,KI,3.07,172.79,83.1,75,25,18.28
111,Caravelas,BR,-17.71,-39.25,80.49,82,100,10.69
112,Basco,PH,20.45,121.97,78.91,77,0,19.64
113,Rawson,AR,-43.3,-65.1,63.86,55,31,13.35
114,Yellowknife,CA,62.46,-114.35,-18.2,75,90,8.05
115,Qaanaaq,GL,77.48,-69.36,-0.96,46,47,7.18
116,Los Llanos de Aridane,ES,28.66,-17.92,65.62,68,20,10.29
117,Chokwe,MZ,-24.53,32.98,93.38,47,0,2.51
118,Northam,GB,51.03,-4.22,51.91,93,75,25.28
119,Hualmay,PE,-11.1,-77.61,67.1,90,61,2.75
120,Chokurdakh,RU,70.63,147.92,-27.13,95,88,6.93
121,Mogzon,RU,51.74,111.96,10.44,90,0,3.74
122,Fort Nelson,CA,58.81,-122.7,-5.8,76,90,5.82
123,Ormara,PK,25.21,64.64,73.44,40,0,4.27
124,Guarapari,BR,-20.67,-40.5,73.4,100,9,3.36
125,Chazuta,PE,-6.57,-76.14,71.53,79,97,2.37
126,Lumeje,AO,-11.55,20.78,71.11,83,100,9.06
127,Ilulissat,GL,69.22,-51.1,8.6,60,100,4.7
128,Vila Velha,BR,-20.33,-40.29,73.4,100,9,3.36
129,Nagorsk,RU,59.32,50.81,17.29,94,89,5.1
130,Vestmannaeyjar,IS,63.44,-20.27,37.98,67,100,20.09
131,Kirkwall,GB,58.98,-2.96,42.03,81,20,32.21
132,Kavaratti,IN,10.57,72.64,82.22,73,7,8.34
133,Kulotino,RU,58.45,33.38,30.61,86,100,5.84
134,Coyhaique,CL,-45.58,-72.07,48.2,93,88,2.24
135,Saldanha,ZA,-33.01,17.94,84.2,39,0,4.7
136,Pevek,RU,69.7,170.31,-17.88,100,100,5.59
137,Teguise,ES,29.06,-13.56,62.6,77,20,13.87
138,Mount Gambier,AU,-37.83,140.77,59.0,93,90,12.75
139,Norman Wells,CA,65.28,-126.83,-38.2,72,40,2.24
140,Acajutla,SV,13.59,-89.83,83.32,58,0,10.04
141,Mackay,AU,-21.15,149.2,79.41,88,40,9.17
142,Thompson,CA,55.74,-97.86,-2.2,64,90,13.87
143,Tuatapere,NZ,-46.13,167.68,60.01,88,100,3.0
144,East London,ZA,-33.02,27.91,78.8,78,18,8.05
145,Hobyo,SO,5.35,48.53,85.59,55,83,21.77
146,Walvis Bay,NA,-22.96,14.51,66.0,91,0,1.01
147,Sinnamary,GF,5.38,-52.95,77.85,79,77,12.91
148,Mecca,SA,21.43,39.83,83.64,37,0,9.64
149,Bethel,US,41.37,-73.41,10.44,60,1,5.53
150,Gebre Guracha,ET,9.8,38.4,75.11,31,2,7.81
151,Cabo San Lucas,MX,22.89,-109.91,58.69,72,95,1.01
152,Leningradskiy,RU,69.38,178.42,-9.29,95,100,16.02
153,Bahia Honda,CU,22.9,-83.16,74.08,81,0,7.99
154,Kruisfontein,ZA,-34.0,24.73,77.95,60,56,7.05
155,Sept-Iles,CA,50.2,-66.38,-14.8,68,20,6.93
156,Bilibino,RU,68.05,166.44,-26.97,100,100,1.95
157,Lagos,NG,6.58,3.75,80.6,78,41,0.4
158,Khatanga,RU,71.97,102.5,12.88,93,100,12.26
159,Puerto Escondido,MX,15.85,-97.07,70.75,56,0,5.91
160,Kodiak,US,57.79,-152.41,21.2,85,20,6.93
161,Lusambo,CD,-4.97,23.45,76.15,71,100,4.59
162,Tiksi,RU,71.69,128.87,-6.12,86,100,10.29
163,Ligayan,PH,4.65,119.47,83.19,73,100,4.45
164,Westport,US,41.14,-73.36,12.29,51,1,5.82
165,Khani,GE,41.96,42.96,42.8,45,100,34.45
166,Pangnirtung,CA,66.15,-65.71,-34.89,100,81,1.19
167,Houston,US,29.76,-95.36,44.78,81,75,4.7
168,Khairpur Nathan Shah,PK,27.09,67.73,83.93,10,0,1.01
169,Talnakh,RU,69.49,88.4,10.4,85,20,17.9
170,Fukuecho,JP,32.69,128.84,60.8,100,75,5.82
171,Abu Samrah,SY,35.3,37.18,42.04,75,100,14.97
172,Dalbandin,PK,28.89,64.41,67.96,11,0,9.69
173,Coquimbo,CL,-29.95,-71.34,59.0,87,29,2.24
174,George Town,MY,5.41,100.34,86.94,79,20,13.87
175,Luanda,AO,-8.84,13.23,84.2,66,75,2.24
176,Galle,LK,6.04,80.22,82.17,71,0,6.08
177,Lorengau,PG,-2.02,147.27,83.7,77,91,12.73
178,Kautokeino,NO,69.01,23.04,3.04,90,87,5.93
179,Tongchuanshi,CN,35.08,109.09,34.2,16,33,7.45
180,Kavieng,PG,-2.57,150.8,83.8,77,100,12.64
181,Baker City,US,44.77,-117.83,31.6,79,75,1.57
182,Bilma,NE,18.69,12.92,72.43,15,46,12.84
183,Grand Gaube,MU,-20.01,57.66,83.68,70,75,16.11
184,Saint George,US,37.1,-113.58,33.69,73,1,4.7
185,Barrow,US,71.29,-156.79,-34.6,94,1,3.36
186,Zarubino,RU,42.63,131.09,26.6,54,100,13.22
187,Maturin,VE,9.75,-63.18,69.64,96,73,3.74
188,Ongandjera,NA,-17.88,15.07,84.6,45,53,6.64
189,Yambio,SS,4.57,28.4,83.62,37,89,3.58
190,Nova Olimpia,BR,-14.8,-57.29,72.28,94,98,1.36
191,Ponta do Sol,PT,32.67,-17.1,58.71,72,20,3.36
192,San Juan de los Morros,VE,9.91,-67.35,66.24,85,21,2.37
193,Qui Nhon,VN,13.77,109.23,80.91,76,0,8.28
194,Havre-Saint-Pierre,CA,50.23,-63.6,-7.6,52,1,6.93
195,Tumarbong,PH,10.38,119.46,82.42,68,0,6.42
196,Aasiaat,GL,68.71,-52.87,3.56,90,100,4.63
197,Xichang,CN,27.9,102.26,32.59,88,100,7.18
198,Kiryat Gat,IL,31.61,34.76,68.13,40,0,3.36
199,Petropavlovsk-Kamchatsky,RU,53.05,158.65,24.8,85,40,4.47
200,Saint-Augustin,CA,51.23,-58.65,-5.08,78,16,17.49
201,Kyaukse,MM,21.6,96.13,91.4,26,20,8.05
202,Lodja,CD,-3.48,23.43,85.26,57,76,4.45
203,Aguilas,ES,37.41,-1.58,54.36,100,0,1.61
204,Ixtapa,MX,20.7,-105.2,66.65,93,5,2.98
205,Banes,CU,20.96,-75.72,71.6,94,5,8.05
206,Lavrentiya,RU,65.58,-171.0,-9.81,82,100,10.42
207,Tevriz,RU,57.51,72.4,21.33,93,100,6.04
208,Santa Marta,CO,11.24,-74.2,62.89,71,0,4.56
209,Vao,NC,-22.67,167.48,79.79,76,2,18.21
210,Itoman,JP,26.12,127.67,76.32,88,75,14.99
211,Laas,IT,46.62,10.7,37.42,79,5,4.7
212,Lata,PT,40.16,-8.33,47.73,93,49,3.36
213,Stornoway,GB,58.21,-6.39,44.8,81,75,41.38
214,Alta Floresta,BR,-9.88,-56.09,71.28,97,99,3.76
215,Cotonou,BJ,6.37,2.42,80.6,74,0,2.24
216,Laguna,US,38.42,-121.42,44.91,87,1,3.36
217,Puerto Suarez,BO,-18.95,-57.8,76.05,85,77,2.98
218,Svetlogorsk,BY,52.63,29.73,34.39,92,100,7.87
219,Wau,SS,7.7,28.0,97.32,9,0,6.17
220,Klaksvik,FO,62.23,-6.59,42.8,87,96,26.4
221,Lagoa,PT,39.05,-27.98,62.62,85,100,31.54
222,Erdenet,MN,49.03,104.08,10.78,84,0,4.34
223,Dunedin,NZ,-45.87,170.5,59.0,93,99,5.01
224,Brownsville,US,25.9,-97.5,57.96,76,90,3.36
225,Lamar,US,33.67,-95.58,35.51,69,1,8.05
226,San Miguel de Tucuman,AR,-26.82,-65.22,75.2,94,90,3.27
227,Cabedelo,BR,-6.98,-34.83,75.2,94,20,5.82
228,Koumra,TD,8.91,17.55,92.7,9,0,5.53
229,Kandrian,PG,-6.22,149.55,77.81,83,63,9.19
230,Mahon,ES,39.89,4.27,57.2,87,75,5.82
231,West Wendover,US,40.74,-114.07,26.6,73,1,5.39
232,Fort Walton Beach,US,30.41,-86.62,41.32,60,1,6.93
233,Bonthe,SL,7.53,-12.51,79.09,78,0,5.17
234,Dingle,PH,11.0,122.67,80.73,70,8,9.46
235,Mahebourg,MU,-20.41,57.7,84.15,70,75,16.11
236,Jennings,US,38.72,-90.26,22.1,79,1,10.29
237,Upernavik,GL,72.79,-56.15,-0.49,46,27,4.52
238,Sovetskiy,RU,61.36,63.58,21.24,93,100,2.91
239,Cucutilla,CO,7.54,-72.77,53.55,84,83,6.42
240,Carnarvon,AU,-24.87,113.63,84.2,58,1,16.11
241,Ostrovnoy,RU,68.05,39.51,17.74,88,86,12.8
242,Denizli,TR,37.84,29.07,42.8,81,75,14.99
243,Ban Dung,TH,17.7,103.26,96.8,25,0,4.7
244,Tahe,CN,52.33,124.73,6.87,89,90,6.24
245,Kenai,US,60.55,-151.26,12.76,85,90,5.82
246,Bucovice,CZ,49.15,17.0,41.13,75,20,1.12
247,Jaisinghnagar,IN,23.7,81.38,83.91,12,34,9.73
248,Hambantota,LK,6.12,81.12,93.2,49,20,13.87
249,Salym,RU,60.06,71.48,16.93,93,100,7.74
250,San Vicente,AR,-26.62,-54.13,69.49,76,100,2.89
251,Kanniyakumari,IN,8.08,77.57,82.92,73,0,22.03
252,Luena,AO,-11.78,19.92,69.8,89,100,6.15
253,Tinskoy,RU,56.15,96.92,25.09,87,24,1.52
254,Esperance,AU,-33.87,121.9,86.0,40,75,20.8
255,Leh,IN,34.17,77.58,12.61,52,16,3.2
256,Grand Forks,US,47.93,-97.03,22.37,92,90,6.93
257,Manokwari,ID,-0.87,134.08,75.56,92,88,6.49
258,San Andres,CO,12.58,-81.7,80.6,83,20,16.11
259,Jacareacanga,BR,-6.22,-57.75,70.93,99,28,1.59
260,Mitsamiouli,KM,-11.38,43.28,89.6,66,20,5.82
261,Tura,IN,25.52,90.22,82.13,34,18,2.68
262,Lompoc,US,34.64,-120.46,45.73,93,90,3.36
263,Teahupoo,PF,-17.83,-149.27,78.46,83,20,3.36
264,Buraidah,SA,26.33,43.98,62.6,39,55,6.93
265,Kailua,US,21.4,-157.74,71.96,93,40,3.36
266,Kirakira,SB,-10.45,161.92,77.65,86,100,14.63
267,Gallup,US,35.53,-108.74,33.1,69,1,6.93
268,Morrope,PE,-6.54,-80.01,66.2,29,99,10.29
269,Millbrook,US,32.48,-86.36,32.36,69,1,5.59
270,Moron,AR,-34.65,-58.62,61.21,87,0,2.24
271,Talaya,RU,61.38,152.75,-21.55,98,100,5.1
272,Tsushima,JP,35.17,136.72,53.87,81,75,3.36
273,Antofagasta,CL,-23.65,-70.4,68.0,88,75,3.36
274,Port Lincoln,AU,-34.73,135.87,64.71,76,0,17.34
275,Rocky Mountain House,CA,52.37,-114.92,9.91,96,99,4.0
276,Muros,ES,42.78,-9.06,55.44,81,75,9.17
277,Siderno,IT,38.28,16.3,59.56,62,20,10.29
278,Kinkala,CG,-4.36,14.76,78.8,83,40,3.36
279,Sari,IR,36.56,53.06,50.0,61,76,18.34
280,Indiana,US,40.0,-86.25,11.98,92,1,5.82
281,Khandyga,RU,62.67,135.6,-30.44,95,0,1.61
282,Vredendal,ZA,-31.67,18.5,89.89,30,44,7.11
283,Deloraine,AU,-41.53,146.67,65.44,52,94,26.4
284,Lahijan,IR,37.21,50.0,46.62,52,100,6.93
285,Safi,MA,32.3,-9.24,57.16,84,32,9.95
286,Suleja,NG,9.18,7.18,78.8,34,0,4.7
287,Ust'-Barguzin,RU,53.45,108.98,11.39,81,0,0.6
288,Pringsewu,ID,-5.36,104.97,82.15,86,61,1.57
289,Jishou,CN,28.32,109.72,34.93,95,100,4.54
290,Urupes,BR,-21.2,-49.29,68.38,92,29,1.59
291,Tahta,EG,26.77,31.5,62.65,40,0,6.93
292,Charters Towers,AU,-20.1,146.27,89.67,36,74,6.44
293,Ugoofaaru,MV,5.67,73.0,82.9,78,1,12.24
294,Riyadh,SA,24.69,46.72,71.6,18,0,4.7
295,Dubki,RU,43.02,46.84,44.4,56,84,22.37
296,Inongo,CD,-1.95,18.27,76.86,77,81,3.36
